list name,name,label,coding,color,,,,
Consent,1.0,Yes,,,,,,
Consent,2.0,No,,,,,,
emailconsent,1.0,Yes,,,,,,
emailconsent,2.0,No,,,,,,
yesno,1.0,Yes,,,,,,
yesno,2.0,No,,,,,,
testvalid,1.0,Valid,,,,,,
testvalid,2.0,Test,,,,,,
gender,1.0,Male,1.0,blue,,,,
gender,2.0,Female,0.0,pink,,,,
ageofrespondent,1.0,18-25,,,,,,
ageofrespondent,2.0,26-40,,,,,,
ageofrespondent,3.0,41-60,,,,,,
ageofrespondent,4.0,61+,,,,,,
marital,1.0,Married,1.0,white,,,,
marital,2.0,Single,0.0,blue,,,,
marital,3.0,Divorced,-1.0,lightblue,,,,
marital,4.0,Widowed,0.5,black,,,,
location,1.0,Bentiu,,,,,,
location,2.0,Malakal,,,,,,
location,3.0,Wau,,,,,,
relationship,1.0,Husband,,,,,,
relationship,2.0,Wife,,,,,,
relationship,3.0,Brother,,,,,,
relationship,4.0,Sister,,,,,,
relationship,5.0,Co-wife ,,,,,,
relationship,6.0,Son,,,,,,
relationship,7.0,Daughter,,,,,,
relationship,8.0,Other relative,,,,,,
educ,1.0,Some Primary,2.0,red,,,,
educ,2.0,Completed primary,3.0,coral,,,,
educ,3.0,Some secondary,4.0,orange,,,,
educ,4.0,Completed secondary,5.0,yellow,,,,
educ,5.0,Some university,6.0,lightgreen,,,,
educ,6.0,Completed university,7.0,green,,,,
educ,7.0,Graduate degree,8.0,darkgreen,,,,
educ,8.0,No education,0.0,black,,,,
educ,9.0,Vocational training,4.0,grey,,,,
educ,10.0,Koranic school,1.0,purple,,,,
employment,1.0,Employed,1.0,green,,,,
employment,2.0,Unemployed,0.0,red,,,,
employment,3.0,Self employed,1.0,blue,,,,
primaryincome,1.0,Land cultivation,,,,,,
primaryincome,2.0,Livestock,,,,,,
primaryincome,3.0,Small scale trade,,,,,,
primaryincome,4.0,Aid,,,,,,
primaryincome,5.0,Remittance,,,,,,
primaryincome,6.0,Casual employment,,,,,,
primaryincome,7.0,Formal employment,,,,,,
primaryincome,8.0,Don't know,,,,,,
primaryincome,9.0,I don't wish to answer,,,,,,
primaryincome,10.0,Other, please specify,,,,,
residency,1.0,IDP,-1.0,,,,,
residency,2.0,Returnee IDP,0.0,,,,,
residency,3.0,Returnee refugee,0.0,,,,,
residency,4.0,Host Community,1.0,,,,,
flee_reason,1.0,Drought,,yellow,,,,
flee_reason,2.0,Lack of food,,purple,,,,
flee_reason,3.0,Floods,,blue,,,,
flee_reason,4.0,Conflict,,red,,,,
flee_reason,5.0,Other,,grey,,,,
period,1.0,1-3 months,1.0,blue,,,,
period,2.0,4-6 months,2.0,lightblue,,,,
period,3.0,About 1 year,4.0,yellow,,,,
period,4.0,1-2 years,8.0,orange,,,,
period,5.0,Over 2 years,15.0,red,,,,
disp_times,1.0,Only one movement from the place of origin and now,1.0,yellow,,,,
disp_times,2.0,Two or more movement from the place of origin and now,2.0,orange,,,,
disp_times,3.0,Don’t remember      ,888.0,grey,,,,
disp_times,4.0,Don’t want to answer,888.0,darkgrey,,,,
month,1.0,January,,,,,,
month,2.0,February,,,,,,
month,3.0,March,,,,,,
month,4.0,April,,,,,,
month,5.0,May,,,,,,
month,6.0,June,,,,,,
month,7.0,July,,,,,,
month,8.0,August,,,,,,
month,9.0,September,,,,,,
month,10.0,October,,,,,,
month,11.0,November,,,,,,
month,12.0,December,,,,,,
urban_rural,1.0,Urban,1.0,grey,,,,
urban_rural,2.0,Rural,0.0,green,,,,
rltptohhhead,1.0,Husband,,,,,,
rltptohhhead,2.0,Wife,,,,,,
rltptohhhead,3.0,Brother,,,,,,
rltptohhhead,4.0,Sister,,,,,,
rltptohhhead,5.0,Co-wife,,,,,,
rltptohhhead,6.0,Son,,,,,,
rltptohhhead,7.0,Daughter,,,,,,
rltptohhhead,8.0,Other relative,,,,,,
lastreceived,1.0,Within the last 3 months,2.0,green,,,,
lastreceived,2.0,Between 3 to 6 months,5.0,lightgreen,,,,
lastreceived,3.0,Between 6 to 12 months,9.0,yellow,,,,
lastreceived,4.0,More than 1 year ago,13.0,orange,,,,
lastreceived,5.0,More than 2 years ago,25.0,red,,,,
items,1.0,Plastic Sheets,,,,,,
items,2.0,Nylon/Rubber Rope,,,,,,
items,3.0,Bamboo poles,,,,,,
items,4.0,Mosquito Net,,,,,,
items,5.0,Blanket,,,,,,
items,6.0,Kanga,,,,,,
items,7.0,Sleeping Mat,,,,,,
items,8.0,Solar Lamp,,,,,,
items,9.0,Other (please specify),,,,,,
cash_type,1.0,Unconditional cash,,,,,,
cash_type,2.0,Cash for work,,,,,,
cash_type,3.0,In-kind assistance,,,,,,
cash_type,4.0,Vouchers,,,,,,
cash_months,1.0,1 Month,1.0,,,,,
cash_months,2.0,2 months,2.0,,,,,
cash_months,3.0,3 months,3.0,,,,,
cash_months,4.0,4 months,4.0,,,,,
cash_months,5.0,5 months,5.0,,,,,
cash_months,6.0,6 months,6.0,,,,,
cash_months,7.0,More than 6 months,8.0,,,,,
cash_usage,1.0,Buy food,,,,,,
cash_usage,2.0,Pay debts,,,,,,
cash_usage,3.0,Buy clothes,,,,,,
cash_usage,4.0,Buy medicine,,,,,,
cash_usage,5.0,Buy water,,,,,,
cash_usage,6.0,Buy fuel,,,,,,
cash_usage,7.0,Buy cooking gas,,,,,,
cash_usage,8.0,Pay school fees/buy uniform and school material,,,,,,
cash_usage,9.0,Open a business,,,,,,
cash_usage,10.0,Buy livestock,,,,,,
