variable_x,variable_y,categories,Description,xtitle,ytitle,legendtitle,title,graphtype,filter
cash_type,complaint_mech,other,Beneficiaries from cash for work and Unconditionnal cash are the least aware of complaint feedback mechanisms,Cash-based assistance received,,Are you familiar with ways <br> to raise complaints or feedback on the project?,Familiary with complaint feedback mechanisms according to type of cash based assistance received,bar,
bdnc,accomm,shelter,People aware of Boma Disaster Management Committees established by the project live mainly in Informal Camps ,,,,Awareness of Boma Disaster Management Committees established by the project according to description of present accomodation,treemap,
accomm,agreement,shelter,The type of agreement is quite different depending on the type of accomodation,,,,Type of agreement according to  description of present accomodation,treemap,
county,incomerange,county,In Bentiu people seem to be poorer and in Malakal richer,,Overall average monthly income in SSP,,Distribution of income per county,violin,
county,incomepermember,county,"If we compare this to the family size, Bentiu remains the poorest county however Malakal seem now poorer than Wau",,Overall average monthly income <br>per family member in SSP,,Distribution of income per family member per county,violin,
county,clinic_satisfaction,county,People are not satisfied with health care services in Malakal,County,,How would you rate your satisfaction in the health care <br>services received at the service?,Satisfaction in health care clinics for those who accessed an IOM operated clinic per county (For those who visited),bar,clinic_access
county,hh_total,county,Familiy sizes are bigger in Bentiu though poorer as we saw earlier,County,Household size,,Distribution of household size per county,violin,
county,marital,county,In Wau there is a significant proportion of beneficiaries which are single or divorced,County,,Marital status,Marital status per county,bar,
county,employment,county,In Wau the rate of unemployed people seems to be much lower,County,,Employment status,Employment status per county,bar,
employment,basicknowledge_improvement,other,Self employed people tend to believe their basic knowledge of conflict transformation has decreased (This is mainly geographic as this comes entirely from Wau),County,,Has there been improvement in your basic <br>knowledge on conflict transformation?,Feeling of improvement in basic knowledge on conflict transformation per employment status (Those who received trainings),bar,ctds
county,urban_rural,county,In Wau and Malakal people are more urban while in Bentiu they are more rural,County,,Are you from urban or rural area ?,Urban or rural origin per county,bar,
ccm_training,perception3,other,Those who received training on CCM and humanitarian responses tends to have better knowledge on GBV.,Have you received training on CCCM and humanitarian responses?,,"Since the project, my overall knowledge on GBV has",Impact of CCM and humanitarian response training on GBV knowledges,bar,
ccm_training,perception5,other,Same for Mental Health and Psychosocial well-being knowledge,Have you received training on CCCM and humanitarian responses?,,"Since the project, my knowledge on Mental Health and Psychosocial well-being has",Impact of CCM and humanitarian response training on Mental Health and Psychosocial well-being knowledges,bar,
