latitude	longitude	gender resp	age	yearsset	timesttelement	Head_Household	gender_if_no	age HHH if no	marital	hh_women	hh_girls	hh_men	hh_boys	hh_childrenG	hh_childrenB	hh_total	educ	employment	selfemploment	primaryincome	sourcefromwho	incomerange	residency	flee_reason	period	disp_times	urban_rural	disabled	disability	disabled_hh	otherdisability	ccm	ccm_received	ccm_training	hum_interventions	infrastructure	nameofinfrastructure	psn_support	gov_committees	complaint_mech	ways_CFM	inaddressed	receivedfeedback	CFW_efficient	explaineff	spaces	spaces2	nfi	lastreceived	nfi_needs	nfi_access	nfi_safe	nfi_items None	nfi_items Plastic Sheets	nfi_items Nylon/Rubber Rope	nfi_items Bamboo poles	nfi_items Mosquito Net	nfi_items Blanket	nfi_items Kanga	nfi_items Sleeping Mat	nfi_items Solar Lamp	nfi_items Other	items_other	nfi_enough	nfi_enough2	emerg_shelter	cash	cash_type	cash_pay	cash_months	awareness_sess	cash_benef	cash_usage No cash received	cash_usage Buy food	cash_usage Pay debts	cash_usage Buy clothes	cash_usage Buy medicine	cash_usage Buy water	cash_usage Buy fuel	cash_usage Buy cooking gas	cash_usage School fees, uniform and school material	cash_usage Open a business	cash_usage Buy livestock	cash_usage Buy agricultural inputs (seeds, tools, fodder, fertilizer etc.)	cash_usage Savings	cash_usage Transport	cash_usage Pay rent, shelter	cash_usage Gift to neighbour or relative	bdnc	accomm	tenure_doc	agreement Oral agreement  	agreement Title deed	agreement Rental agreement	agreement O?cial letter of ownership	agreement Uno?cial letter of ownership	agreement O?cial letter of rental	agreement Uno?cial letter of rental	agreement Local authority permit	agreement Don't know	agreement Other	agreement_other	disputes	disputes_resolver	dispute_resolved	watersource	watersource_duration_a	wells	water_pay	water_treatment	borehole_rehab	water_access	rehab_effect	water_sensitization	toilet	handwash	soap	separate	sensitization	hygene_prom	handwash_times Before preparing meals	handwash_times Before serving food	handwash_times Before eating	handwash_times Before feeding a baby	handwash_times After cleaning the baby of the feaces	handwash_times After using the toilet	handwash_times After handling garbage	handwash_times After playing with children	handwash_why	handwash_item	latrine_use	hygiene_activities	wash_nfi	mhm	soap2	mhm_training	hygiene_messages	hygiene_awareness	clinic	clinic_access	clinic_satisfaction	mh_services Psychological First Aid	mh_services Counselling	mh_services Support Groups	mh_services Referral	well-being	cb_training Psychological first aid	cb_training Basic counselling	cb_training Group facilitation, mindfulness, and animation of socio-relational	cb_training Cultural and creative and arts-based activities	cb_training Sports and play	cb_training Non-formal education	ctds	basicknowledge_improvement	targeted_ass	gbv_campaigns	campaigns No message received	campaigns Drama	campaigns Door-to-door visits	campaigns Community discussions	campaigns Radio talk shows	campaigns Other	knowledge_increase	wgfs	wgfs_benefit	perception1	perception2	perception3	perception4	perception5	recommandation	remarks	county	payam	boma	village	lastrehabwhen	lastrehabwho	incomepermember	gender HHH	age HHH
7.7160723	27.9603491	Female	28	6	0	Yes	0	0	Widowed	1	1	0	3	0	1	6	Some Primary	Self employed	Small business	Other, please specify	0	0	IDP	Conflict	Over 2 years	Only one movement from the place of origin and now	Urban	Yes	Hearing problem	Yes	Can't walk	Yes	Cleaning of drainage area and repairing shelter	Yes	No	Yes	Shelter, school	No	Yes	No	0	No	0	No	Don't know where to report	Yes	0	No	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	No	0	0	0	Yes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	Formal Camp	Yes	0	1	0	1	0	0	0	0	0	0	0	Yes	Family members	Yes	Public tap/standpipe	15	2 wells	100.0	None	No	0	0	No	Communal latrine	No	0	Yes	No	Yes	1	0	1	1	1	0	0	0	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	No	Yes	No	No	No	Yes	Yes	Yes	Very satisfied	0	0	1	0	Significantly increased	1	1	1	1	0	0	Yes	Significantly increased	No	Yes	0	0	0	1	0	1	Significantly increased	Yes	Highly beneficial	Slightly increased	Significantly decreased	Significantly increased	Significantly increased	Significantly increased	I need organisation to involve widows in the project so that we can get what we need,some of female and male latrines are not repaired but some are been repaired, our water is not supplied in right away and time	Discrimination among communities in the camp and the issues of food assistance and latrines,some women are staying without any activities	Wau	Wau	Aweil Jedid	Aweil Jedid	Don't remember	Not Stated	0.0	Female	28
7.7169872	27.9603531	Female	44	5	0	Yes	0	0	Widowed	2	3	1	2	0	0	8	Some Primary	Employed	0	Aid	ACTED	15000	IDP	Conflict	Over 2 years	Only one movement from the place of origin and now	Urban	No	0	Yes	Visual impairement	Yes	Roads and drainage and camp has been designed	No	Yes	No	0	Yes	No	Yes	Going to block leaders	No	0	No	I didn't report	Yes	0	No	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	No	0	0	0	Yes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Formal Camp	No	0	0	1	0	0	0	0	0	0	0	0	Yes	Others (please specify)	Yes	Public tap/standpipe	40	2 wells	0.0	None	No	0	0	Yes	Communal latrine	No	0	No	Yes	Yes	1	1	0	0	0	1	0	0	To be healthy	With water and soap	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	Satisfied	1	0	0	0	No change	1	0	1	0	1	0	No	0	No	Yes	0	0	1	1	0	1	Significantly increased	Yes	Somewhat beneficial	Significantly increased	Slightly decreased	Significantly increased	Slightly increased	Significantly increased	I need organisation to have operational area of project should be clear people, I need organisation IOM to repair church and schools, food assistance to be enough to us.	The water point is too over crowded because water point is not enough for communities in the camp specifically to zone A block 3	Wau	Wau North	Aweil Jedid	Aweil Jedid	0		1875.0	Female	44
7.7167872	27.9606593	Female	36	6	0	Yes	0	0	Divorced	3	2	2	1	1	0	9	Some university	Self employed	Small business	Aid	WFP	3000	IDP	Conflict	Over 2 years	Only one movement from the place of origin and now	Urban	Yes	Physical impairment	Yes	Physical impairment	Yes	Construction materials	Yes	Yes	No	0	Yes	Yes	No	0	No	0	No	There is no feedback/I wont get feedback	Yes	0	No	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	No	No	0	0	0	Yes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Formal Camp	Yes	0	1	0	0	0	0	0	0	0	0	0	No	0	0	Public tap/standpipe	10	1 well	0.0	None	No	0	0	No	Communal latrine	No	0	Yes	No	No	1	0	1	0	0	1	0	0	To reduces spread/ transmission of disease	With water and soap	No	Yes	No	Yes	No	Yes	No	No	Yes	Yes	Very satisfied	1	1	1	0	Significantly increased	1	1	1	0	0	0	Yes	Significantly increased	No	Yes	0	1	1	0	1	1	Significantly increased	Yes	Highly beneficial	Significantly increased	Significantly increased	Significantly increased	Significantly increased	Significantly increased	I need  organisation to avoid discrimination among communities and we need general services and business capital,  good schools in the  camp and good teachers, I need  to encourage organisation to deliver good services and food assistance is not  enough for  us. I need Axiom Company  to deliver women with  awareness and training on business capital 	Latrines is not being constructed	Wau	Wau North	Aweil Jedid	Aweil Jedid	0		333.333333333333	Female	36
7.717307	27.9606177	Female	38	6	0	No	Male	39	Married	1	3	1	4	2	1	12	Completed secondary	Self employed	Small business and selling bread	Aid	ACTED	5000	IDP	Conflict	Over 2 years	Only one movement from the place of origin and now	Urban	Yes	Visual and physical impairment	No	0	Yes	Shelter and ratio card of food assistance	No	Yes	Yes	IOM Clinic, Women and girls friendly space, NFI Office and Community Centre	Yes	Yes	Yes	CCCM Desk	Yes	Yes	Yes	0	Yes	0	No	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	No	0	0	0	Yes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Formal Camp	No	0	0	1	0	0	0	0	0	0	0	0	Yes	Others (please specify)	Yes	Public tap/standpipe	20	2 wells	0.0	None	No	0	0	Yes	Communal latrine	Yes	No	Yes	Yes	Yes	1	1	1	1	1	1	1	0	To reduces spread/ transmission of disease	With water and soap	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Very satisfied	1	1	0	0	Significantly increased	1	1	1	0	0	1	Yes	Significantly increased	No	Yes	0	0	0	0	0	1	Significantly increased	Yes	Highly beneficial	Significantly increased	Slightly increased	Significantly increased	Significantly increased	Significantly increased	Help for the needy/disabled	None/Nothing	Wau	Wau North	Aweil Jedid	Aweil Jedid	Last month	Not Stated	416.666666666667	Male	39
7.7173419	27.9607398	Female	40	7	0	Yes	0	0	Divorced	2	2	0	3	1	1	9	Some university	Self employed	Small business and selling groundnuts	Remittance	Am getting support from my son	0	IDP	Conflict	Over 2 years	Only one movement from the place of origin and now	Urban	Yes	Visual impairement	No	0	Yes	Latrines,water	Yes	Yes	Yes	Center of women and girls, schools	Yes	Yes	Yes	CCCM Desk	Yes	Yes	Yes	0	Yes	0	Yes	Within the last 3 months	Yes	No	Yes	0	0	0	0	1	0	0	0	0	0	0	No	Mosquito nets not enough	Yes	No	0	0	0	Yes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Formal Camp	No	0	0	0	0	0	0	0	0	0	1	Staying free	No	0	0	Public tap/standpipe	5	2 wells	0.0	None	No	0	0	Yes	Communal latrine	No	0	Yes	Yes	Yes	0	1	1	0	0	1	0	0	To reduces spread/ transmission of disease	With water and soap	Yes	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Very satisfied	1	1	1	0	Significantly increased	1	0	1	1	0	0	Yes	Significantly increased	No	Yes	0	0	0	0	0	1	Significantly increased	Yes	Highly beneficial	Slightly increased	No change	Significantly increased	Significantly increased	Significantly increased	Thank you	None/Nothing	Wau	Wau	Aweil Jedid	Aweil Jedid	Last year	Not Stated	0.0	Female	40
7.7167878	27.9601663	Female	28	1	12	Yes	0	0	Single	1	2	0	3	2	1	9	Completed primary	Self employed	Casual worker	Aid	ACTED	0	IDP	Conflict	Over 2 years	Two or more movement from the place of origin and now	Rural	No	0	No	0	Yes	Card, camp rehabilitated, supplementary card for childrens	Yes	Yes	Yes	Camp emergencies	No	No	Yes	Politely complain	Yes	No	Yes	0	No	Chief of the areas	Yes	More than 1 year ago	No	Yes	No	0	0	0	0	1	0	0	0	0	0	0	No	Need more water, blanket, plastic sheet, food	No	No	0	0	0	Yes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Informal Camp	No	0	0	0	0	0	0	0	1	0	0	0	Yes	IDP committee members	Yes	Public tap/standpipe	0	4 wells	0.5	Chlorination or Aquatabs	Yes	Yes		Yes	Family latrine	Yes	No	Yes	Yes	No	1	1	1	1	1	1	0	1	To be healthy	With water and soap	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	Satisfied	1	1	1	1	Slightly increased	0	0	0	1	1	1	Yes	Slightly decrease	Yes	Yes	0	1	0	1	1	0	Significantly decrease	Yes	Don't know	Slightly decreased	Significantly decreased	Slightly decreased	Significantly decreased	Slightly decreased	They would keep providing us satisfying need like soap, 3 to 5 milo, nets, blanket, camps rehabilitation, solar lamp	Let keep illustration to supports committees, and improvement of satisfy their special needs and lifesaving	Wau	Wau South	Nazareth	Khormudiir	Last year	Not Stated	0.0	Female	28
7.7168669	27.960289	Female	20	2	12	Yes	0	0	Married	1	0	0	0	1	0	2	Some Primary	Self employed	Casual worker	Aid	ACTED	0	IDP	Conflict	1-2 years	Only one movement from the place of origin and now	Rural	Yes	Face problem	No	0	No	0	No	No	Yes	Camps, mosquito net	No	No	Yes	By request letter/form	Yes	No	No	There is no consideration	Yes	0	No	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	No	No	0	0	0	No	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	Formal Camp	No	0	0	0	0	0	0	0	1	0	0	0	No	0	0	Public tap/standpipe	15	1 well	50.0	None	Yes	Yes	Good	No	Communal latrine	No	0	Yes	Yes	No	1	1	1	1	1	1	0	1	To be healthy	With water and soap	Yes	Yes	No	No	Yes	No	Yes	No	Yes	Yes	Satisfied	1	1	1	1	Slightly increased	1	0	0	1	1	0	No	0	No	No	1	0	0	0	0	0	0	No	0	Slightly decreased	No change	Slightly decreased	Slightly decreased	Slightly decreased	You shall consider all they refugees member's right and thier complaints in place	Improves all the special needs by they internal displace persons	Wau	Wau North	Khormudiir	Nazareth	1 year ago	Not Stated	0.0	Female	20
7.7166512	27.9605127	Female	42	6	0	No	Male	44	Married	1	1	1	2	1	1	7	Some Primary	Self employed	Small business	Aid	ACTED	0	IDP	Conflict	Over 2 years	Only one movement from the place of origin and now	Urban	No	0	No	0	Yes	Camps, nets, solar and transport(now not there)	No	No	Yes	Camps, solars, water	No	No	Yes	NA(mentioned a complain instead)	No	0	No	No provement pair each persons	Yes	0	No	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	No	Yes	Cash for work	20000	More than 6 months	No	Yes	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	Yes	Formal Camp	Yes	1	1	0	0	0	0	0	1	0	0	0	No	0	0	Public tap/standpipe	15	4 wells	0.5	Chlorination or Aquatabs	Yes	Yes	Clean water	Yes	Communal latrine	No	0	Yes	Yes	Yes	1	1	1	1	1	1	1	1	To be healthy	With water and soap	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Not satisfied	1	0	1	1	No change	0	0	1	1	0	0	Yes	Slightly decrease	Yes	Yes	0	1	1	1	1	0	Slightly decrease	Yes	Highly beneficial	Slightly decreased	Significantly decreased	Significantly decreased	Significantly decreased	Slightly decreased	Let all organisations staffs give the informations to all IDPs camps during distributing special suports need respectively, may money should be given to all womens for business, from door to door, so that works will systematical go.	This work should systematically follow by all department of IOM bases, let special needs sufficiently increased to each and every refugees IDPs and thanks	Wau	Wau North	Khormudiir	Nazareth	1 year ago	IOM	0.0	Male	44
7.7167951	27.9606776	Female	30	6	0	Yes	0	0	Divorced	1	3	1	0	1	2	8	Some secondary	Self employed	Small business	Aid	WFP	0	IDP	Conflict	Over 2 years	Only one movement from the place of origin and now	Urban	No	0	Yes	Visual impairement	No	0	No	No	Yes	Camps, nets, soaps	No	No	Yes	By request letter/form	Yes	Yes	Yes	0	Yes	0	No	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	No	0	0	0	Yes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	Informal Camp	No	0	0	1	0	1	0	1	0	0	0	0	No	0	0	Public tap/standpipe	10	2 wells	0.5	Chlorination or Aquatabs	Yes	Yes	Clean water	No	Communal latrine	No	0	Yes	Yes	Yes	1	1	1	1	1	1	0	0	To be healthy	With water and soap	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	Very satisfied	1	0	1	1	Slightly increased	0	0	1	1	1	0	No	0	Yes	Yes	0	0	1	1	1	0	Slightly decrease	Yes	Highly beneficial	Slightly decreased	Slightly decreased	Slightly decreased	Significantly decreased	Significantly decreased	I'm message as an IDPs camp personal we need great support to improves our life so that we will go back to our native areas I strongly requested an Axiom ME!	They IDPs oppinion should be considered as well as possible	Wau	Wau North	Khormudiir	Nazareth	1 year ago	IOM	0.0	Female	30
7.7175903	27.959417	Female	38	6	0	Yes	0	0	Divorced	1	3	2	2	1	0	9	Some secondary	Self employed	Small business	Small scale trade	0	0	IDP	Conflict	Over 2 years	Only one movement from the place of origin and now	Urban	No	0	No	0	Yes	Dura, camps, rices, soaps	No	Yes	Yes	Camps	No	No	Yes	By request letter/form	No	0	No	There is no feedback/I wont get feedback	Yes	0	Yes	More than 2 years ago	No	No	Yes	0	1	1	0	1	0	0	0	0	0	0	No	Items received not enough	No	No	0	0	0	Yes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Informal Camp	No	0	1	0	0	1	0	0	1	0	0	0	No	0	0	Public tap/standpipe	0	4 wells	0.5	Chlorination or Aquatabs	Yes	Yes	Good	Yes	Family latrine	Yes	Yes	Yes	Yes	Yes	1	1	1	1	1	1	0	0	To be healthy	With water and soap	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Not satisfied	1	0	1	1	Slightly increased	1	0	1	1	1	0	No	0	No	Yes	0	1	0	1	1	0	Slightly decrease	No	0	Slightly decreased	No change	No change	Slightly decreased	Slightly decreased	My suggestion is, we need something like money, to assist us IDPs refugees camps and then we go back to our normal native areas thanks	Somes IDPs are still suffering keep up their lifesaving	Wau	Wau North	Naviasha	Naviasha	Not clear	IOM	0.0	Female	38
